"billid","billname","committeename"
209,"BILLS-115hr630ih","Committee on the Judiciary"
210,"BILLS-115hr2365rh","Committee on the Judiciary"
211,"BILLS-115hr7136ih","Committee on Natural Resources"
212,"BILLS-115hconres44ih","Committee on Agriculture"
212,"BILLS-115hconres44ih","Education and the Workforce"
213,"BILLS-115hres863ih","Committee on Oversight and Government Reform"
214,"BILLS-115hconres9ih","Committee on Oversight and Government Reform"
215,"BILLS-115hconres117ih","Committee on Oversight and Government Reform"
216,"BILLS-115hres143ih","Committee on Oversight and Government Reform"
217,"BILLS-115hr3602ih","Committee on the Judiciary"
218,"BILLS-115hconres74ih","Committee on Energy and Commerce"
218,"BILLS-115hconres74ih","Education and the Workforce"
219,"BILLS-115hres155ih","Committee on Financial Services"
219,"BILLS-115hres155ih","the Budget"
219,"BILLS-115hres155ih","the Judiciary"
220,"BILLS-115hr6148ih","Committee on the Judiciary"
221,"BILLS-115hr6795ih","Committee on Education and the Workforce"
222,"BILLS-115hr5510ih","Committee on Financial Services"
222,"BILLS-115hr5510ih","House Administration"
223,"BILLS-115hr5824ih","Committee on the Judiciary"
224,"BILLS-115s2754is","Committee on Agriculture"
225,"BILLS-115s2839is","Committee on Health, Education, Labor, and Pensions"
226,"BILLS-115s2591is","Committee on Agriculture, Nutrition, and Forestry"
227,"BILLS-115hr7320ih","Committee on the Judiciary"
228,"BILLS-115hr1222ih","Committee on Education and the Workforce"
229,"BILLS-115hr1222rh","Committee on Energy and Commerce"
230,"BILLS-115hr3980ih","Committee on Energy and Commerce"
231,"BILLS-115s1324is","Committee on the Judiciary"
232,"BILLS-115hr5197ih","Committee on the Judiciary"
233,"BILLS-115hconres41ih","Committee on Energy and Commerce"
234,"BILLS-115hr2841ih","Committee on Armed Services"
235,"BILLS-115sres69ats","Committee on the Judiciary"
236,"BILLS-115s477is","nan"
237,"BILLS-115s2516is","Committee on Health, Education, Labor, and Pensions"
238,"BILLS-115sres559is","Committee on Health, Education, Labor, and Pensions"
239,"BILLS-115hr1853ih","Committee on Health, Education, Labor, and Pensions"
240,"BILLS-115sres212is","Committee on the Judiciary"
241,"BILLS-115hr3123ih","Committee on the Judiciary"
242,"BILLS-115sres563is","Committee on Financial Services"
242,"BILLS-115sres563is","House Administration"
243,"BILLS-115hres820ih","Committee on the Judiciary"
244,"BILLS-115s537is","Committee on Foreign Affairs"
245,"BILLS-115hr697eh","Committee on the Judiciary"
246,"BILLS-115hr5193ih","nan"
247,"BILLS-115s166is","Committee on Small Business"
247,"BILLS-115s166is","Armed Services"
248,"BILLS-115hr970ih","Committee on Banking, Housing, and Urban Affairs"
249,"BILLS-115hres974ih","Committee on Oversight and Government Reform"
249,"BILLS-115hres974ih","Financial Services"
250,"BILLS-115hr697ih","Committee on Education and the Workforce"
251,"BILLS-115hr5072ih","Committee on Homeland Security"
252,"BILLS-115hr697rfs","Committee on the Judiciary"
253,"BILLS-115s235is","Committee on Homeland Security and Governmental Affairs"
254,"BILLS-115hr579ih","Committee on Health, Education, Labor, and Pensions"
255,"BILLS-115s1050rfh","Committee on Financial Services"
256,"BILLS-115s1050enr","Committee on Financial Services"
256,"BILLS-115s1050enr","Committee on House Administration"
257,"BILLS-115s2275is","nan"
258,"BILLS-115hr7214ih","Committee on the Judiciary"
259,"BILLS-115hr691ih","Committee on Education and the Workforce"
260,"BILLS-115s1050es","Committee on Education and the Workforce"
260,"BILLS-115s1050es","Oversight and Government Reform"
260,"BILLS-115s1050es","Armed Services"
261,"BILLS-115s3195is","nan"
262,"BILLS-115hr3844ih","Committee on the Judiciary"
263,"BILLS-115hr6383ih","Committee on the Judiciary"
264,"BILLS-115hr5115ih","Committee on Agriculture"
265,"BILLS-115hr1553ih","Committee on Energy and Commerce"
266,"BILLS-115hr901ih","Committee on Financial Services"
266,"BILLS-115hr901ih","House Administration"
267,"BILLS-115hr7035ih","Committee on the Judiciary"
268,"BILLS-115hr2325ih","Committee on Energy and Commerce"
269,"BILLS-115hr5001ih","Committee on the Judiciary"
270,"BILLS-115hr1374ih","Committee on Financial Services"
271,"BILLS-115hr1963ih","Committee on the Judiciary"
272,"BILLS-115s858is","Committee on the Judiciary"
273,"BILLS-115s3660is","Committee on Banking, Housing, and Urban Affairs"
274,"BILLS-115s329is","Committee on Finance"
274,"BILLS-115s329is","Committee on Homeland Security and Governmental Affairs of the Senate"
274,"BILLS-115s329is","Committee on the Judiciary of the Senate"
274,"BILLS-115s329is","Committee on Homeland Security of the House of Representatives"
274,"BILLS-115s329is","Committee on the Judiciary of the House of Representatives"
275,"BILLS-115hr7345ih","Committee on the Judiciary"
276,"BILLS-115hr4184ih","Committee on Education and the Workforce"
277,"BILLS-115hr4130ih","Committee on the Judiciary"
278,"BILLS-115hr2161ih","Committee on the Judiciary"
278,"BILLS-115hr2161ih","Energy and Commerce"
279,"BILLS-115s3076is","Committee on the Judiciary"
280,"BILLS-115sres404ats","Committee on Homeland Security and Governmental Affairs"
281,"BILLS-115hr1748ih","Committee on Health, Education, Labor, and Pensions"
282,"BILLS-115hr6698ih","Committee on Education and the Workforce"
283,"BILLS-115sres366is","Committee on Energy and Commerce"
284,"BILLS-115s647is","Committee on Health, Education, Labor, and Pensions"
285,"BILLS-115s1050is","Committee on the Judiciary"
286,"BILLS-115hres563ih","Committee on Banking, Housing, and Urban Affairs"
287,"BILLS-115sres404is","Committee on Education and the Workforce"
288,"BILLS-115s2407is","Committee on Health, Education, Labor, and Pensions"
289,"BILLS-115hr4152ih","Committee on Health, Education, Labor, and Pensions"
290,"BILLS-115hr5942ih","Committee on Education and the Workforce"
290,"BILLS-115hr5942ih","House Administration"
290,"BILLS-115hr5942ih","the Judiciary"
290,"BILLS-115hr5942ih","Oversight and Government Reform"
291,"BILLS-115s2019is","Committee on Energy and Commerce"
291,"BILLS-115s2019is","Ways and Means"
291,"BILLS-115s2019is","Agriculture"
291,"BILLS-115s2019is","Education and the Workforce"
291,"BILLS-115s2019is","the Budget"
291,"BILLS-115s2019is","the Judiciary"
291,"BILLS-115s2019is","Veterans Affairs"
291,"BILLS-115s2019is","Armed Services"
291,"BILLS-115s2019is","Natural Resources"
291,"BILLS-115s2019is","Committee on Homeland Security and Governmental Affairs of the Senate"
291,"BILLS-115s2019is","Committee on the Judiciary of the Senate"
291,"BILLS-115s2019is","Committee on Homeland Security of the House of Representatives"
291,"BILLS-115s2019is","Committee on the Judiciary of the House of Representatives"
292,"BILLS-115hres720ih","Committee on Health, Education, Labor, and Pensions"
293,"BILLS-115hr6103ih","Committee on Education and the Workforce"
294,"BILLS-115s788is","Committee on Transportation and Infrastructure"
295,"BILLS-115hr2358ih","Committee on Veterans Affairs"
296,"BILLS-115s3363is","Committee on Financial Services"
296,"BILLS-115s3363is","House Administration"
297,"BILLS-115hr6925ih","Committee on Finance"
298,"BILLS-115hr6336ih","Committee on the Judiciary"
299,"BILLS-115s3117is","Committee on Agriculture"
299,"BILLS-115s3117is","Committee on Agriculture of the House of Representatives"
299,"BILLS-115s3117is","Committee on Agriculture, Nutrition, and Forestry of the Senate"
299,"BILLS-115s3117is","Committee on Agriculture of the House of Representatives"
299,"BILLS-115s3117is","Committee on Agriculture, Nutrition, and Forestry of the Senate"
300,"BILLS-115s1942is","Committee on Agriculture, Nutrition, and Forestry"
300,"BILLS-115s1942is","Committee on Agriculture of the House of Representatives"
300,"BILLS-115s1942is","Committee on Agriculture, Nutrition, and Forestry of the Senate"
300,"BILLS-115s1942is","Committee on Agriculture of the House of Representatives"
300,"BILLS-115s1942is","Committee on Agriculture, Nutrition, and Forestry of the Senate"
301,"BILLS-115s1942rs","Committee on Indian Affairs"
302,"BILLS-115s1270is","Committee on Indian Affairs"
303,"BILLS-115hr6374rfs","Committee on Health, Education, Labor, and Pensions"
304,"BILLS-115hr6374eh","Committee on Homeland Security and Governmental Affairs"
305,"BILLS-115hres132ih","nan"
306,"BILLS-115hr791ih","Committee on Ways and Means"
307,"BILLS-115s2163is","Committee on Financial Services"
308,"BILLS-115hr4485ih","Committee on Finance"
309,"BILLS-115hr164ih","Committee on the Judiciary"
309,"BILLS-115hr164ih","Natural Resources"
310,"BILLS-115hr6374rh","Committee on Energy and Commerce"
310,"BILLS-115hr6374rh","Education and the Workforce"
310,"BILLS-115hr6374rh","Ways and Means"
310,"BILLS-115hr6374rh","Oversight and Government Reform"
311,"BILLS-115hr2652ih","Committee on Homeland Security"
312,"BILLS-115hr2676ih","Committee on Veterans Affairs"
313,"BILLS-115hr4576ih","Committee on the Judiciary"
314,"BILLS-115hr2151ih","Committee on Oversight and Government Reform"
315,"BILLS-115s954is","Committee on Education and the Workforce"
316,"BILLS-115s992is","Committee on Health, Education, Labor, and Pensions"
317,"BILLS-115hr7307ih","Committee on Veterans Affairs"
318,"BILLS-115s1942es","Committee on Education and the Workforce"
318,"BILLS-115s1942es","Armed Services"
319,"BILLS-115hr2653ih","nan"
320,"BILLS-115s2722is","Committee on Science, Space, and Technology"
321,"BILLS-115s1258is","Committee on Health, Education, Labor, and Pensions"
322,"BILLS-115s121is","Committee on the Judiciary"
