"representativeid","lastname","firstname","statelabel","statecode","district","chamber","party"
178,"Brooks","Mo","Alabama",1,5,"Representative","Republican"
179,"Schneider","Brad","Illinois",17,10,"Representative","Democratic"
180,"Lipinski","Daniel","Illinois",17,3,"Representative","Democratic"
181,"Rush","Bobby L","Illinois",17,1,"Representative","Democratic"
182,"Bucshon","Larry","Indiana",18,8,"Representative","Republican"
183,"Moore","Gwen","Wisconsin",55,4,"Representative","Democratic"
184,"Schakowsky","Janice D","Illinois",17,9,"Representative","Democratic"
185,"Quigley","Mike","Illinois",17,5,"Representative","Democratic"
186,"Gutierrez","Luis V","Illinois",17,4,"Representative","Democratic"
187,"Davis","Danny K","Illinois",17,7,"Representative","Democratic"
188,"Gaetz","Matt","Florida",12,1,"Representative","Republican"
189,"Rokita","Todd","Indiana",18,4,"Representative","Republican"
190,"Visclosky","Peter J","Indiana",18,1,"Representative","Democratic"
191,"Roby","Martha","Alabama",1,2,"Representative","Republican"
192,"Palmer","Gary J","Alabama",1,6,"Representative","Republican"
193,"Guthrie","Brett","Kentucky",21,2,"Representative","Republican"
194,"DesJarlais","Scott","Tennessee",47,4,"Representative","Republican"
195,"Black","Diane","Tennessee",47,6,"Representative","Republican"
196,"Walorski","Jackie","Indiana",18,2,"Representative","Republican"
197,"Upton","Fred","Michigan",26,6,"Representative","Republican"
198,"Hollingsworth","Trey","Indiana",18,9,"Representative","Republican"
199,"Rogers","Mike D","Alabama",1,3,"Representative","Republican"
200,"Lewis","Jason","Michigan",26,2,"Representative","Republican"
201,"Brooks","Susan W","Indiana",18,5,"Representative","Republican"
202,"Carson","Andre","Indiana",18,7,"Representative","Democratic"
203,"Messer","Luke","Indiana",18,6,"Representative","Republican"
204,"Yarmuth","John A","Kentucky",21,3,"Representative","Democratic"
205,"Stutzman","Marlin A","Indiana",18,3,"Representative","Republican"
206,"Moolenaar","John R","Michigan",26,4,"Representative","Republican"
207,"Amash","Justin","Michigan",26,3,"Representative","Republican"
208,"Massie","Thomas","Kentucky",21,4,"Representative","Republican"
209,"Graves","Tom","Georgia",13,14,"Representative","Republican"
210,"Fleischmann","Charles J","Tennessee",47,3,"Representative","Republican"
211,"Ferguson","Drew","Georgia",13,3,"Representative","Republican"
212,"Walberg","Tim","Michigan",26,7,"Representative","Republican"
213,"Barr","Andy","Kentucky",21,6,"Representative","Republican"
214,"Rogers","Harold","Kentucky",21,5,"Representative","Republican"
215,"Loudermilk","Barry","Georgia",13,11,"Representative","Republican"
216,"Scott","David","Georgia",13,13,"Representative","Democratic"
217,"Chabot","Steve","Ohio",39,1,"Representative","Republican"
218,"Davidson","Warren","Ohio",39,8,"Representative","Republican"
219,"Latta","Robert E","Ohio",39,5,"Representative","Republican"
220,"Collins","Doug","Georgia",13,9,"Representative","Republican"
221,"Lewis","John","Georgia",13,5,"Representative","Democratic"
222,"Bishop","Mike","Michigan",26,8,"Representative","Republican"
223,"Jordan","Jim","Ohio",39,4,"Representative","Republican"
224,"Wenstrup","Brad R","Ohio",39,2,"Representative","Republican"
225,"Price","Tom","Georgia",13,6,"Representative","Republican"
226,"Turner","Michael R","Ohio",39,10,"Representative","Republican"
227,"Meadows","Mark","North Carolina",37,11,"Representative","Republican"
228,"Woodall","Rob","Georgia",13,7,"Representative","Republican"
229,"Hice","Jody B","Georgia",13,10,"Representative","Republican"
230,"Scott","Austin","Georgia",13,8,"Representative","Republican"
231,"Stivers","Steve","Ohio",39,15,"Representative","Republican"
232,"Roe","David P","Tennessee",47,1,"Representative","Republican"
233,"Trott","David A","Michigan",26,11,"Representative","Republican"
234,"Griffith","Morgan H","Virginia",51,9,"Representative","Republican"
235,"Lawrence","Brenda L","Michigan",26,14,"Representative","Democratic"
236,"Duncan","Jeff","South Carolina",45,3,"Representative","Republican"
237,"Levin","Sander M","Michigan",26,9,"Representative","Democratic"
238,"Tiberi","Patrick J","Ohio",39,12,"Representative","Republican"
239,"Allen","Rick W","Georgia",13,12,"Representative","Republican"
240,"Beatty","Joyce","Ohio",39,3,"Representative","Democratic"
241,"Johnson","Bill","Ohio",39,6,"Representative","Republican"
242,"Gibbs","Bob","Ohio",39,7,"Representative","Republican"
243,"Gowdy","Trey","South Carolina",45,4,"Representative","Republican"
244,"McHenry","Patrick T","North Carolina",37,10,"Representative","Republican"
245,"Jenkins","Evan H","West Virginia",54,3,"Representative","Republican"
246,"Ross","Dennis A","Florida",12,15,"Representative","Republican"
247,"Rutherford","John","Florida",12,4,"Representative","Republican"
248,"Rooney","Thomas J","Florida",12,17,"Representative","Republican"
249,"Lawson","Al","Florida",12,5,"Representative","Democratic"
250,"Renacci","James B","Ohio",39,16,"Representative","Republican"
251,"Mooney","Alexander X","West Virginia",54,2,"Representative","Republican"
252,"DeSantis","Ron","Florida",12,6,"Representative","Republican"
253,"Mulvaney","Mick","South Carolina",45,5,"Representative","Republican"
254,"Wilson","Joe","South Carolina",45,2,"Representative","Republican"
255,"Demings","Val","Florida",12,10,"Representative","Democratic"
