,BillID,CommittteeName
315,258,Committee on the Judiciary
316,259,Committee on Education and the Workforce
317,260,Committee on Education and the Workforce
318,260,Oversight and Government Reform
319,260,Armed Services
320,261,
321,262,Committee on the Judiciary
322,263,Committee on the Judiciary
323,264,Committee on Agriculture
324,265,Committee on Energy and Commerce
325,266,Committee on Financial Services
326,266,House Administration
327,267,Committee on the Judiciary
328,268,Committee on Energy and Commerce
329,269,Committee on the Judiciary
330,270,Committee on Financial Services
331,271,Committee on the Judiciary
332,272,Committee on the Judiciary
333,273,"Committee on Banking, Housing, and Urban Affairs"
334,274,Committee on Finance
335,274,Committee on Homeland Security and Governmental Affairs of the Senate
336,274,Committee on the Judiciary of the Senate
337,274,Committee on Homeland Security of the House of Representatives
338,274,Committee on the Judiciary of the House of Representatives
339,275,Committee on the Judiciary
340,276,Committee on Education and the Workforce
341,277,Committee on the Judiciary
342,278,Committee on the Judiciary
343,278,Energy and Commerce
344,279,Committee on the Judiciary
345,280,Committee on Homeland Security and Governmental Affairs
346,281,"Committee on Health, Education, Labor, and Pensions"
347,282,Committee on Education and the Workforce
348,283,Committee on Energy and Commerce
349,284,"Committee on Health, Education, Labor, and Pensions"
350,285,Committee on the Judiciary
351,286,"Committee on Banking, Housing, and Urban Affairs"
352,287,Committee on Education and the Workforce
353,288,"Committee on Health, Education, Labor, and Pensions"
354,289,"Committee on Health, Education, Labor, and Pensions"
355,290,Committee on Education and the Workforce
356,290,House Administration
357,290,the Judiciary
358,290,Oversight and Government Reform
359,291,Committee on Energy and Commerce
360,291,Ways and Means
361,291,Agriculture
362,291,Education and the Workforce
363,291,the Budget
364,291,the Judiciary
365,291,Veterans' Affairs
366,291,Armed Services
367,291,Natural Resources
368,291,Committee on Homeland Security and Governmental Affairs of the Senate
369,291,Committee on the Judiciary of the Senate
370,291,Committee on Homeland Security of the House of Representatives
371,291,Committee on the Judiciary of the House of Representatives
372,292,"Committee on Health, Education, Labor, and Pensions"
373,293,Committee on Education and the Workforce
374,294,Committee on Transportation and Infrastructure
375,295,Committee on Veterans' Affairs
376,296,Committee on Financial Services
