,Name,Link,OfficialTitle,BillStage,Date,LegisType,CommitteeName,SponsorLastName,SponsorFirstName,SponsorState,CoSponsorLastName,CoSponsorFirstName,CoSponsorState
66,CHRG-115hhrg31419,https://www.govinfo.gov/content/pkg/CHRG-115hhrg31419/html/CHRG-115hhrg31419.htm,,,,,,,,,,,
67,CHRG-115hhrg30563,https://www.govinfo.gov/content/pkg/CHRG-115hhrg30563/html/CHRG-115hhrg30563.htm,,,,,,,,,,,
68,CHRG-115shrg27828,https://www.govinfo.gov/content/pkg/CHRG-115shrg27828/html/CHRG-115shrg27828.htm,,,,,,,,,,,
69,CHRG-115shrg32295,https://www.govinfo.gov/content/pkg/CHRG-115shrg32295/html/CHRG-115shrg32295.htm,,,,,,,,,,,
70,CHRG-115shrg32517,https://www.govinfo.gov/content/pkg/CHRG-115shrg32517/html/CHRG-115shrg32517.htm,,,,,,,,,,,
71,CHRG-115hhrg32303,https://www.govinfo.gov/content/pkg/CHRG-115hhrg32303/html/CHRG-115hhrg32303.htm,,,,,,,,,,,
72,CHRG-115shrg31485,https://www.govinfo.gov/content/pkg/CHRG-115shrg31485/html/CHRG-115shrg31485.htm,,,,,,,,,,,
73,CHRG-115hhrg26558,https://www.govinfo.gov/content/pkg/CHRG-115hhrg26558/html/CHRG-115hhrg26558.htm,,,,,,,,,,,
74,CHRG-115shrg28518,https://www.govinfo.gov/content/pkg/CHRG-115shrg28518/html/CHRG-115shrg28518.htm,,,,,,,,,,,
75,CHRG-115shrg29844,https://www.govinfo.gov/content/pkg/CHRG-115shrg29844/html/CHRG-115shrg29844.htm,,,,,,,,,,,
76,CHRG-115hhrg30697,https://www.govinfo.gov/content/pkg/CHRG-115hhrg30697/html/CHRG-115hhrg30697.htm,,,,,,,,,,,
77,CHRG-115hhrg29966,https://www.govinfo.gov/content/pkg/CHRG-115hhrg29966/html/CHRG-115hhrg29966.htm,,,,,,,,,,,
78,CHRG-115shrg79104754,https://www.govinfo.gov/content/pkg/CHRG-115shrg79104754/html/CHRG-115shrg79104754.htm,,,,,,,,,,,
79,CHRG-115hhrg27369,https://www.govinfo.gov/content/pkg/CHRG-115hhrg27369/html/CHRG-115hhrg27369.htm,,,,,,,,,,,
80,CHRG-115shrg32933,https://www.govinfo.gov/content/pkg/CHRG-115shrg32933/html/CHRG-115shrg32933.htm,,,,,,,,,,,
81,CHRG-115shrg34304,https://www.govinfo.gov/content/pkg/CHRG-115shrg34304/html/CHRG-115shrg34304.htm,,,,,,,,,,,
82,CHRG-115hhrg31107,https://www.govinfo.gov/content/pkg/CHRG-115hhrg31107/html/CHRG-115hhrg31107.htm,,,,,,,,,,,
83,CHRG-115shrg36042,https://www.govinfo.gov/content/pkg/CHRG-115shrg36042/html/CHRG-115shrg36042.htm,,,,,,,,,,,
84,CHRG-115shrg40897,https://www.govinfo.gov/content/pkg/CHRG-115shrg40897/html/CHRG-115shrg40897.htm,,,,,,,,,,,
85,CHRG-115hhrg28157,https://www.govinfo.gov/content/pkg/CHRG-115hhrg28157/html/CHRG-115hhrg28157.htm,,,,,,,,,,,
86,CHRG-115hhrg26855,https://www.govinfo.gov/content/pkg/CHRG-115hhrg26855/html/CHRG-115hhrg26855.htm,,,,,,,,,,,
87,CHRG-115shrg28515,https://www.govinfo.gov/content/pkg/CHRG-115shrg28515/html/CHRG-115shrg28515.htm,,,,,,,,,,,
