,Name,Link,OfficialTitle,BillStage,Date,LegisType,CommitteeName,SponsorLastName,SponsorFirstName,SponsorState,CoSponsorLastName,CoSponsorFirstName,CoSponsorState
73,BILLS-115hr5195ih,https://www.govinfo.gov/content/pkg/BILLS-115hr5195ih/xml/BILLS-115hr5195ih.xml,,,,,,,,,,,
74,BILLS-115hr1563ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1563ih/xml/BILLS-115hr1563ih.xml,,,,,,,,,,,
75,BILLS-115s1610is,https://www.govinfo.gov/content/pkg/BILLS-115s1610is/xml/BILLS-115s1610is.xml,,,,,,,,,,,
76,BILLS-115sres589ats,https://www.govinfo.gov/content/pkg/BILLS-115sres589ats/xml/BILLS-115sres589ats.xml,,,,,,,,,,,
77,BILLS-115s1996is,https://www.govinfo.gov/content/pkg/BILLS-115s1996is/xml/BILLS-115s1996is.xml,,,,,,,,,,,
78,BILLS-115hr4271ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4271ih/xml/BILLS-115hr4271ih.xml,,,,,,,,,,,
79,BILLS-115s248is,https://www.govinfo.gov/content/pkg/BILLS-115s248is/xml/BILLS-115s248is.xml,,,,,,,,,,,
80,BILLS-115hr4933ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4933ih/xml/BILLS-115hr4933ih.xml,,,,,,,,,,,
81,BILLS-115hr2096ih,https://www.govinfo.gov/content/pkg/BILLS-115hr2096ih/xml/BILLS-115hr2096ih.xml,,,,,,,,,,,
82,BILLS-115s1979is,https://www.govinfo.gov/content/pkg/BILLS-115s1979is/xml/BILLS-115s1979is.xml,,,,,,,,,,,
83,BILLS-115s549is,https://www.govinfo.gov/content/pkg/BILLS-115s549is/xml/BILLS-115s549is.xml,,,,,,,,,,,
84,BILLS-115s924is,https://www.govinfo.gov/content/pkg/BILLS-115s924is/xml/BILLS-115s924is.xml,,,,,,,,,,,
85,BILLS-115sres555ats,https://www.govinfo.gov/content/pkg/BILLS-115sres555ats/xml/BILLS-115sres555ats.xml,,,,,,,,,,,
86,BILLS-115hr1926ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1926ih/xml/BILLS-115hr1926ih.xml,,,,,,,,,,,
87,BILLS-115hr4065ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4065ih/xml/BILLS-115hr4065ih.xml,,,,,,,,,,,
88,BILLS-115hr152ih,https://www.govinfo.gov/content/pkg/BILLS-115hr152ih/xml/BILLS-115hr152ih.xml,,,,,,,,,,,
89,BILLS-115sres225is,https://www.govinfo.gov/content/pkg/BILLS-115sres225is/xml/BILLS-115sres225is.xml,,,,,,,,,,,
90,BILLS-115hr5862ih,https://www.govinfo.gov/content/pkg/BILLS-115hr5862ih/xml/BILLS-115hr5862ih.xml,,,,,,,,,,,
91,BILLS-115sres225ats,https://www.govinfo.gov/content/pkg/BILLS-115sres225ats/xml/BILLS-115sres225ats.xml,,,,,,,,,,,
92,BILLS-115hr6765ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6765ih/xml/BILLS-115hr6765ih.xml,,,,,,,,,,,
93,BILLS-115hr5977ih,https://www.govinfo.gov/content/pkg/BILLS-115hr5977ih/xml/BILLS-115hr5977ih.xml,,,,,,,,,,,
94,BILLS-115hres203ih,https://www.govinfo.gov/content/pkg/BILLS-115hres203ih/xml/BILLS-115hres203ih.xml,,,,,,,,,,,
95,BILLS-115hres700ih,https://www.govinfo.gov/content/pkg/BILLS-115hres700ih/xml/BILLS-115hres700ih.xml,,,,,,,,,,,
96,BILLS-115hr684ih,https://www.govinfo.gov/content/pkg/BILLS-115hr684ih/xml/BILLS-115hr684ih.xml,,,,,,,,,,,
97,BILLS-115hres936ih,https://www.govinfo.gov/content/pkg/BILLS-115hres936ih/xml/BILLS-115hres936ih.xml,,,,,,,,,,,
98,BILLS-115sres737ats,https://www.govinfo.gov/content/pkg/BILLS-115sres737ats/xml/BILLS-115sres737ats.xml,,,,,,,,,,,
99,BILLS-115hres19ih,https://www.govinfo.gov/content/pkg/BILLS-115hres19ih/xml/BILLS-115hres19ih.xml,,,,,,,,,,,
